52	Tobias Harris, Det PF		0.54	0.96	0.67	1.44	0.41	0.70	0.45	1.28		6.46
53	Rudy Gay, Sac SF		0.37	0.31	0.56	1.17	0.04	1.70	0.79	1.47		6.41
54	Thaddeus Young, Ind SF		2.10	-1.05	-0.69	2.21	0.16	2.05	0.35	1.25		6.38
55	Nikola Jokic, Den PF		1.37	0.57	-0.30	1.70	0.56	1.10	0.76	0.58		6.34
56	DeAndre Jordan, LAC C		5.01	-8.21	-0.82	4.23	-0.19	0.30	4.72	0.98		6.01
57	Will Barton, Den SG		-0.68	0.69	1.27	1.27	0.67	0.87	0.42	1.42		5.92
58	Dwyane Wade, Chi SG		0.17	0.69	-0.69	0.39	1.74	1.10	0.51	1.92		5.83
59	Jrue Holiday, Nor PGBreaking News		-0.45	1.01	0.80	-0.16	2.10	1.36	-0.11	1.22		5.77
60	Enes Kanter, OKC C		3.32	0.53	-0.64	2.23	-0.63	-0.42	0.23	1.11		5.74
61	Derrick Favors, Uta PF		1.88	-0.64	-0.82	1.41	-0.16	0.96	2.04	1.06		5.71
62	Darren Collison, Sac PGRecent News		0.96	1.24	0.80	-0.29	1.55	1.01	-0.67	1.10		5.70
63	JJ Redick, LAC SG		0.87	1.48	2.91	-0.44	-0.07	0.04	-0.64	1.52		5.66
64	Avery Bradley, Bos SG		-0.16	0.17	1.92	-0.03	0.33	2.19	-0.21	1.37		5.57
65	Andrew Wiggins, Min SG		0.29	0.10	0.24	0.33	0.37	1.07	0.64	2.50		5.56
66	Kent Bazemore, Atl SG		-0.29	0.50	1.21	0.78	0.43	1.64	0.39	0.75		5.40
67	Nerlens Noel, Phi C		1.57	-2.04	-0.80	1.61	0.05	2.22	2.32	0.47		5.39
68	Otto Porter Jr., Wsh SF		0.55	-0.02	1.01	0.84	0.04	1.84	0.20	0.74		5.20
69	Rodney Hood, Uta SG		-1.11	1.14	2.18	0.21	0.75	0.93	-0.30	1.35		5.15
70	Goran Dragic, Mia PG		0.77	-0.28	0.37	0.26	2.31	0.87	-0.27	1.07		5.11
71	Evan Turner, Por SG		0.09	0.70	-0.45	0.87	1.86	1.13	0.07	0.71		4.99
72	Dwight Howard, Atl C		3.87	-5.66	-0.82	3.10	-0.13	0.81	2.72	0.97		4.87
73	Zach LaVine, Min PG		-0.02	0.41	1.47	0.01	1.03	0.81	-0.27	1.35		4.80
74	Robert Covington, Phi PF		-1.79	0.34	2.35	0.98	-0.14	1.84	0.45	0.72		4.75
75	Gary Harris, Den SG		0.48	0.49	1.14	-0.03	0.24	1.62	-0.24	0.88		4.58
76	Mason Plumlee, Por PF		1.30	-1.90	-0.82	2.04	0.84	0.79	1.85	0.48		4.58
77	George Hill, Uta PG		-0.30	0.03	1.57	0.37	1.10	1.22	-0.27	0.79		4.50
78	Jonas Valanciunas, Tor C		2.37	0.04	-0.82	1.63	-0.56	-0.45	1.69	0.52		4.43
79	Joe Johnson, Uta SG		-0.41	0.61	1.42	0.33	1.55	0.59	-0.67	1.01		4.42
80	Al-Farouq Aminu, Por SF		-0.97	-0.17	1.53	1.39	0.17	0.90	0.85	0.67		4.37
81	Jordan Clarkson, LAL PG		-0.73	0.53	1.25	0.44	0.59	1.36	-0.58	1.52		4.37
82	Kentavious Caldwell-Pope, Det SG		-1.10	0.67	1.31	0.28	0.17	1.99	-0.27	1.26		4.31
83	Andrew Michael Bogut, Dal C		2.04	-0.88	-0.80	1.35	0.36	-0.22	2.75	-0.34		4.26
84	Marc Gasol, Mem C  DTD		0.31	0.93	-0.78	0.69	0.62	0.27	1.38	0.72		4.14
85	Amir Johnson, Bos PF		2.26	-1.34	-0.64	1.42	0.17	0.33	1.79	0.10		4.10
86	Luol Deng, LAL SF		0.08	-0.02	0.82	1.10	0.19	0.96	0.11	0.83		4.07
87	Deron Williams, Dal PG  DTD		-1.08	1.27	0.99	-0.18	2.00	0.59	-0.36	0.85		4.06
88	Marcus Morris, Det PF		-0.61	-0.11	1.19	0.90	0.65	0.76	-0.08	1.31		4.02
89	Kyrie Irving, Cle PG		-0.12	1.36	0.75	-0.35	1.03	0.44	-0.24	1.12		3.98
90	Ryan Anderson, Hou PF		-0.82	1.43	1.62	0.86	-0.32	-0.07	-0.02	1.30		3.98
91	Jabari Parker, Mil SF		1.31	0.13	-0.65	0.86	0.11	0.81	0.11	1.18		3.86
92	Kyle Korver, Atl SG		-0.40	0.26	2.13	0.17	0.37	0.56	0.29	0.46		3.84
93	Matt Barnes, Sac SF		-1.85	0.38	1.40	0.99	0.36	1.07	0.98	0.50		3.83
94	Ish Smith, Det PG		-1.42	-0.63	0.22	0.40	2.95	1.36	-0.05	0.97		3.80
95	Chris Bosh, Mia C  DTDRecent News		0.41	0.53	0.69	0.83	0.10	-0.13	0.26	1.05		3.75
96	Wesley Matthews, Dal SG		-1.99	0.90	2.71	0.06	0.27	1.07	-0.27	0.98		3.72
97	Brandon Knight, Pho PG		-1.21	0.98	1.42	-0.12	1.13	0.59	-0.17	1.07		3.67
98	Patrick Beverley, Hou PG		-0.41	-0.40	1.49	0.12	0.94	1.53	0.01	0.37		3.66
99	Rudy Gobert, Uta C		1.55	-2.74	-0.82	2.25	-0.18	0.13	3.41	0.06		3.65
100	D'Angelo Russell, LAL PG		-1.42	-0.21	1.61	0.24	1.15	1.50	-0.39	1.14		3.62
